topic,source_name,tier,url_rss,score,priority,language
cyber,Graham Cluley,specialist,https://grahamcluley.com/feed/,80,2,en
cyber,Malwarebytes Labs,specialist,https://www.malwarebytes.com/blog/feed,80,1,en
cyber,SANS ISC,authority,https://isc.sans.edu/rssfeed.xml,85,1,en
cyber,Recorded Future,specialist,https://www.recordedfuture.com/feed,80,1,en
cyber,Security Affairs,specialist,https://securityaffairs.com/feed,75,2,en
deep_tech,Quanta Magazine,authority,https://www.quantamagazine.org/feed,95,1,en
deep_tech,Ars Technica Science,authority,https://feeds.arstechnica.com/arstechnica/science,85,1,en
deep_tech,Semiconductor Digest,specialist,https://www.semiconductor-digest.com/feed/,75,2,en
deep_tech,Next Platform,specialist,https://www.nextplatform.com/feed/,80,1,en
deep_tech,HPCwire,specialist,https://www.hpcwire.com/feed/,75,2,en
deep_tech,Tom's Hardware,generalist,https://www.tomshardware.com/feeds/all,70,2,en
deep_tech,WikiChip,specialist,https://fuse.wikichip.org/feed/,80,2,en
space,Payload Space,specialist,https://payloadspace.com/feed/,85,1,en
space,Everyday Astronaut,generalist,https://everydayastronaut.com/feed/,70,2,en
space,Eric Berger (Ars),authority,https://arstechnica.com/author/ericberger/feed/,85,1,en
space,Jeff Foust (Space News),authority,https://spacenews.com/author/jeff-foust/feed/,85,1,en
crypto,Messari,authority,https://messari.io/rss,85,1,en
crypto,a]6z crypto,corporate,https://a16zcrypto.com/feed/,85,1,en
crypto,Paradigm Research,corporate,https://www.paradigm.xyz/feed.xml,85,1,en
crypto,Vitalik Buterin,authority,https://vitalik.eth.limo/feed.xml,95,1,en
crypto,Polynya,specialist,https://polynya.mirror.xyz/feed/atom,80,2,en
info,Press Gazette,specialist,https://pressgazette.co.uk/feed/,75,2,en
info,Nieman Lab,authority,https://www.niemanlab.org/feed/,85,1,en
attention,The Ankler,specialist,https://www.theankler.com/feed,80,2,en
attention,Puck News,authority,https://puck.news/feed/,85,1,en
attention,The Hollywood Reporter,generalist,https://www.hollywoodreporter.com/feed/,70,2,en
persuasion,Marketing Brew,specialist,https://www.marketingbrew.com/feed,80,1,en
persuasion,The Hustle,generalist,https://thehustle.co/feed/,70,2,en
persuasion,Morning Brew,generalist,https://www.morningbrew.com/daily/feed,70,2,en
general,Axios,authority,https://api.axios.com/feed/,85,1,en
general,Protocol (archive),specialist,https://www.protocol.com/feeds/feed.rss,75,2,en
general,Rest of World,authority,https://restofworld.org/feed/,90,1,en
general,MIT Tech Review,authority,https://www.technologyreview.com/feed/,90,1,en
general,Ars Technica,authority,https://feeds.arstechnica.com/arstechnica/index,85,1,en
general,The Verge,generalist,https://www.theverge.com/rss/index.xml,80,1,en
general,Wired,generalist,https://www.wired.com/feed/rss,80,1,en
ia,Towards Data Science,generalist,https://towardsdatascience.com/feed,70,2,en
ia,Machine Learning Mastery,generalist,https://machinelearningmastery.com/feed/,70,2,en
ia,Distill.pub,authority,https://distill.pub/rss.xml,90,1,en
macro,Matt Levine Money Stuff,authority,https://www.bloomberg.com/opinion/authors/ARbTQlRLRjE/matthew-s-levine.rss,95,1,en
macro,FT Alphaville,authority,https://www.ft.com/alphaville?format=rss,90,1,en
macro,Calculated Risk,specialist,https://www.calculatedriskblog.com/feeds/posts/default,80,2,en
deals,Pitchbook News,authority,https://pitchbook.com/news/feed,85,1,en
deals,TechCrunch Startups,authority,https://techcrunch.com/category/startups/feed/,85,1,en
deals,The Information,authority,https://www.theinformation.com/feed,95,1,en
regulation,Tech Policy Press,specialist,https://techpolicy.press/feed/,80,1,en
regulation,Algorithm Watch,specialist,https://algorithmwatch.org/en/feed/,80,2,en
regulation,Access Now,specialist,https://www.accessnow.org/feed/,75,2,en
regulation,EFF Deeplinks,authority,https://www.eff.org/rss/updates.xml,85,1,en
asia,Nikkei Asia,authority,https://asia.nikkei.com/rss/feed/nar,90,1,en
asia,South China Morning Post,authority,https://www.scmp.com/rss/91/feed,90,1,en
asia,The Ken,authority,https://the-ken.com/feed/,85,1,en
asia,Tech in Asia,specialist,https://www.techinasia.com/feed,80,1,en
asia,KrASIA,specialist,https://kr-asia.com/feed,80,2,en
general,L'Usine Digitale,specialist,https://www.usine-digitale.fr/rss,80,1,fr
general,Maddyness,specialist,https://www.maddyness.com/feed/,75,1,fr
general,FrenchWeb,specialist,https://www.frenchweb.fr/feed,75,2,fr
general,Siècle Digital,generalist,https://siecledigital.fr/feed/,70,2,fr
ia,ActuIA,specialist,https://www.actuia.com/feed/,75,1,fr
cyber,LeMagIT Security,specialist,https://www.lemagit.fr/rss/Security.xml,75,1,fr
cyber,CERT-FR,authority,https://www.cert.ssi.gouv.fr/feed/,90,1,fr
energy,Techniques de l'Ingénieur,specialist,https://www.techniques-ingenieur.fr/feed/,75,2,fr
macro,Les Echos Tech,authority,https://www.lesechos.fr/tech-medias/rss.xml,85,1,fr
deals,Journal du Net,generalist,https://www.journaldunet.com/rss/,70,2,fr
